okres,year,total_voters,total_populist,business_total,private,private_foreign,private_foreign_intl,pop_density,age_dep_ratio,pop_tot,foreign_prop,uni_prop,relig,prop_agro,prop_manuf,prop_prof,tot_land,agro_land,agro_prop_land,foreign_biz_prop,turnout,total_pop,slovak,hungarian,ukrainian,czech,german,polish,austrian
Humenné,2016,27592,0.362097709481009,1325,1323,66,34,83.56,18.97,62845,0.15480945182592087,0.17156294616612078,0.9530304440927287,0.09060955518945635,0.13982701812191103,0.08401976935749589,754238069,277795854,0.36831322286385415,0.04981132075471698,0.43904845254196834,62845,53116,88,544,258,18,73,7
Ilava,2002,33392,0.6090380929563968,603,597,33,56,172.28,23.85,61664,0.029903995848469145,0.17707916746361566,0.8634157614975734,0.03797670336684219,0.19339396840593587,0.10483484921014839,358493443,130901545,0.3651434846466634,0.05472636815920398,0.541515308770109,61664,59820,84,22,763,44,22,3
Ilava,2010,29794,0.5890783379203867,1237,1232,97,42,169.27,17.44,60593,0.03447592956282075,0.17707916746361566,0.8634157614975734,0.03797670336684219,0.19339396840593587,0.10483484921014839,358500839,129265856,0.36057337093149733,0.07841552142279709,0.49170696285049426,60593,58504,82,27,811,57,32,9
Ilava,2012,30731,0.7198919657674661,1352,1347,111,34,168.87,17.72,60493,0.09672193476931212,0.17707916746361566,0.8634157614975734,0.03797670336684219,0.19339396840593587,0.10483484921014839,358500839,128924852,0.35962217650486444,0.08210059171597633,0.508009191146083,60493,54642,58,18,482,25,25,2
Ilava,2016,30586,0.3934806774341202,1720,1714,116,31,166.92,18.9,59727,0.08729720227033,0.17707916746361566,0.8634157614975734,0.03797670336684219,0.19339396840593587,0.10483484921014839,358500851,128134124,0.357416512799296,0.06744186046511629,0.5120967066820701,59727,54513,74,21,510,28,40,6
Kežmarok,2002,26771,0.41552426132755593,269,261,10,17,76.03,40.71,64007,0.113112628306279,0.10689460071128354,0.9551832252755827,0.07363291824580401,0.12425554953979426,0.08012994044396318,839457458,334479761,0.39844754229344165,0.03717472118959108,0.41825112878278936,64007,56767,50,64,263,130,112,1
Kežmarok,2010,24166,0.42299097906149136,636,632,39,24,81.7,34.64,68928,0.14268512070566386,0.10689460071128354,0.9551832252755827,0.07363291824580401,0.12425554953979426,0.08012994044396318,839330473,330922794,0.3942699623632038,0.06132075471698113,0.3505977251624884,68928,59093,50,89,324,148,165,8
Kežmarok,2012,25551,0.5720324057766819,736,729,52,27,112.88,35.59,71389,0.20622224712490722,0.10689460071128354,0.9551832252755827,0.07363291824580401,0.12425554953979426,0.08012994044396318,629997422,323324971,0.5132163397963873,0.07065217391304347,0.35791228340500636,71389,56667,50,66,184,107,142,4
Kežmarok,2016,26813,0.3745571178159848,993,983,51,23,116.57,35.35,73756,0.18856770974564785,0.10689460071128354,0.9551832252755827,0.07363291824580401,0.12425554953979426,0.08012994044396318,629923972,317897225,0.5046596718500499,0.0513595166163142,0.3635365258419654,73756,59848,58,75,237,118,179,9
Komárno,2002,58722,0.1310071182861619,910,892,83,104,98.14,21.9,107783,0.7240195578152399,0.12480541252544605,0.8510120678878792,0.029478332873309414,0.09737786364890974,0.14921335909467293,1100270416,866091925,0.7871627850802816,0.0912087912087912,0.5448169006244027,107783,29746,74508,35,703,31,28,2
Komárno,2010,51441,0.1093291343480881,3204,3184,1335,172,96.8,18.2,106414,0.729997932602853,0.12480541252544605,0.8510120678878792,0.029478332873309414,0.09737786364890974,0.14921335909467293,1100142792,864610469,0.7859074979059627,0.4166666666666667,0.4834044392655102,106414,28732,73821,39,747,56,35,21
