region;year;tot_indust
DE221;2008;2709
DE221;2010;2560
DE221;2012;3597
DE221;2018;3513
DE222;2008;1609
DE222;2010;1246
DE222;2012;2398
DE222;2018;1680
DE223;2008;3268
DE223;2010;2659
DE223;2012;3068
DE223;2018;3820
DE224;2008;6606
DE224;2010;8117
DE224;2012;8110
DE224;2018;9187
DE225;2008;2277
DE225;2010;2087
DE225;2012;1952
DE225;2018;2476
DE226;2008;5804
DE226;2010;4613
DE226;2012;5194
DE226;2018;5461
DE227;2008;5501
DE227;2010;6137
DE227;2012;8393
DE227;2018;8555
DE228;2008;8531
DE228;2010;6981
DE228;2012;8265
DE228;2018;10597
DE229;2008;1895
DE229;2010;1866
DE229;2012;2388
DE229;2018;2222
DE22A;2008;4327
DE22A;2010;4356
DE22A;2012;4217
DE22A;2018;6508
DE22B;2008;4833
DE22B;2010;2848
DE22B;2012;3620
DE22B;2018;4936
DE22C;2008;5420
DE22C;2010;5718
DE22C;2012;6988
DE22C;2018;7984
DE231;2008;1710
DE231;2010;1725
DE231;2012;1914
DE231;2018;1613
DE232;2008;6521
DE232;2010;5870
DE232;2012;8332
DE232;2018;7903
DE233;2008;1557
DE233;2010;1734
DE233;2012;1763
DE233;2018;1584
DE234;2008;5657
DE234;2010;3303
DE234;2012;4446
DE234;2018;6262
DE235;2008;5149
DE235;2010;5127
DE235;2012;4067
DE235;2018;4544
DE236;2008;5306
DE236;2010;8962
DE236;2012;9388
DE236;2018;8359
DE237;2008;6262
DE237;2010;2887
DE237;2012;5246
DE237;2018;4559
DE238;2008;7214
DE238;2010;5881
DE238;2012;6511
DE238;2018;10347
DE239;2008;8407
DE239;2010;6516
DE239;2012;8651
DE239;2018;10257
DE23A;2008;3954
DE23A;2010;2368
DE23A;2012;3534
DE23A;2018;3872
DE241;2008;2715
DE241;2010;2227
DE241;2012;1962
DE241;2018;3039
DE242;2008;1656
DE242;2010;1712
DE242;2012;1692
DE242;2018;2522
DE243;2008;1678
DE243;2010;2198
DE243;2012;2426
DE243;2018;1845
DE244;2008;2198
DE244;2010;2177
DE244;2012;2215
DE244;2018;2101
DE245;2008;6280
DE245;2010;4592
DE245;2012;4967
DE245;2018;6049
DE246;2008;3132
DE246;2010;3300
DE246;2012;4164
DE246;2018;4762
DE247;2008;3476
DE247;2010;4795
DE247;2012;4834
DE247;2018;3899
DE248;2008;3013
DE248;2010;3951
DE248;2012;3755
DE248;2018;4872
DE249;2008;3797
DE249;2010;4051
DE249;2012;5252
DE249;2018;5076
DE24A;2008;2540
DE24A;2010;2772
DE24A;2012;2221
DE24A;2018;3413
DE24B;2008;3449
DE24B;2010;2769
DE24B;2012;3779
DE24B;2018;5390
DE24C;2008;3155
DE24C;2010;3492
DE24C;2012;3435
DE24C;2018;3381
DE24D;2008;2480
DE24D;2010;2122
DE24D;2012;2223
DE24D;2018;2637
DE251;2008;2308
DE251;2010;1445
DE251;2012;1858
DE251;2018;1660
DE252;2008;1703
DE252;2010;1794
DE252;2012;2538
DE252;2018;3075
DE253;2008;2249
DE253;2010;1915
DE253;2012;2301
DE253;2018;2430
DE254;2008;17519
DE254;2010;16083
DE254;2012;15601
DE254;2018;18189
DE255;2008;1540
DE255;2010;1420
DE255;2012;1076
DE255;2018;2506
DE256;2008;10031
DE256;2010;7556
DE256;2012;9301
DE256;2018;10431
DE257;2008;3503
DE257;2010;3474
DE257;2012;3928
DE257;2018;4701
DE258;2008;1960
DE258;2010;1374
DE258;2012;1567
DE258;2018;1908
DE259;2008;6988
DE259;2010;6333
DE259;2012;7559
DE259;2018;6017
DE25A;2008;6497
DE25A;2010;5746
DE25A;2012;7009
DE25A;2018;5938
DE25B;2008;4383
DE25B;2010;4141
DE25B;2012;4148
DE25B;2018;4940
DE25C;2008;2483
DE25C;2010;3780
DE25C;2012;3623
DE25C;2018;4739
DE261;2008;3243
DE261;2010;3098
DE261;2012;3470
DE261;2018;3801
DE262;2008;2992
DE262;2010;2704
DE262;2012;2372
DE262;2018;3674
DE263;2008;5064
DE263;2010;3635
DE263;2012;4700
DE263;2018;4098
DE264;2008;6095
DE264;2010;6053
DE264;2012;5685
DE264;2018;6739
DE265;2008;2872
DE265;2010;3445
DE265;2012;3030
DE265;2018;5249
DE266;2008;2698
DE266;2010;2619
DE266;2012;2664
DE266;2018;2967
DE267;2008;3380
DE267;2010;4065
DE267;2012;4520
DE267;2018;5451
DE268;2008;6235
DE268;2010;5877
DE268;2012;4554
DE268;2018;7487
DE269;2008;3678
DE269;2010;3548
DE269;2012;3565
DE269;2018;4864
DE26A;2008;3369
DE26A;2010;4025
DE26A;2012;4235
DE26A;2018;5183
DE26B;2008;4466
DE26B;2010;4273
DE26B;2012;3748
DE26B;2018;5653
DE26C;2008;6919
DE26C;2010;6291
DE26C;2012;7002
DE26C;2018;8014
DE271;2008;8419
DE271;2010;6188
DE271;2012;6285
DE271;2018;7760
DE272;2008;1112
DE272;2010;1177
DE272;2012;1335
DE272;2018;1173
DE273;2008;3166
DE273;2010;2699
DE273;2012;2222
DE273;2018;2214
DE274;2008;2555
DE274;2010;2382
DE274;2012;2418
DE274;2018;3486
DE275;2008;7699
DE275;2010;5779
DE275;2012;4878
DE275;2018;6824
DE276;2008;9940
DE276;2010;10525
DE276;2012;14027
DE276;2018;13411
DE277;2008;5414
DE277;2010;4595
DE277;2012;4357
DE277;2018;6874
DE278;2008;7083
DE278;2010;5552
DE278;2012;9264
DE278;2018;10560
DE279;2008;7147
DE279;2010;6773
DE279;2012;5865
DE279;2018;9603
DE27A;2008;2816
DE27A;2010;1434
DE27A;2012;2101
DE27A;2018;2410
DE27B;2008;8958
DE27B;2010;3792
DE27B;2012;6051
DE27B;2018;7491
DE27C;2008;9072
DE27C;2010;6600
DE27C;2012;7904
DE27C;2018;9435
DE27D;2008;9667
DE27D;2010;8725
DE27D;2012;10143
DE27D;2018;10435
DE27E;2008;5157
DE27E;2010;3689
DE27E;2012;4649
DE27E;2018;6426
DE300;2008;35254
DE300;2010;34849
DE300;2012;36065
DE300;2018;39625
DE401;2012;1832
DE401;2018;1666
DE402;2012;1498
DE402;2018;2058
DE403;2012;1486
DE403;2018;1176
DE404;2012;2823
DE404;2018;3261
DE405;2012;8270
DE405;2018;7852
DE406;2012;10157
DE406;2018;10550
DE407;2012;4073
DE407;2018;4415
DE408;2012;7240
DE408;2018;8379
DE409;2012;7176
DE409;2018;9074
DE40A;2012;7276
DE40A;2018;8633
DE40B;2012;5173
DE40B;2018;5752
DE40C;2012;6904
DE40C;2018;8833
DE40D;2012;6628
DE40D;2018;6244
DE40E;2012;8098
DE40E;2018;7918
DE40F;2012;2891
DE40F;2018;2075
DE40G;2012;4999
DE40G;2018;5348
DE40H;2012;11827
DE40H;2018;12567
DE40I;2012;9177
DE40I;2018;5814
DE411;2008;1739
DE411;2010;1784
DE412;2008;8055
DE412;2010;5832
DE413;2008;7143
DE413;2010;7167
DE414;2008;5937
DE414;2010;6545
DE415;2008;8242
DE415;2010;7046
DE416;2008;6798
DE416;2010;5871
DE417;2008;3182
DE417;2010;2987
DE418;2008;7436
