nuts3;year;pop_tot
BE24;2014;1108408
BE24;2015;1114590
BE24;2016;1122600
BE24;2017;1130644
BE24;2018;1138546
BE24;2019;1146643
BE24;2020;1156470
BE24;2021;1163186
BE24;2022;1173956
BE241;2014;613421
BE241;2015;618154
BE241;2016;623252
BE241;2017;628001
BE241;2018;632717
BE241;2019;638030
BE241;2020;644543
BE241;2021;649912
BE241;2022;656399
BE242;2014;494987
BE242;2015;496436
BE242;2016;499348
BE242;2017;502643
BE242;2018;505829
BE242;2019;508613
BE242;2020;511927
BE242;2021;513274
BE242;2022;517557
BE25;2014;1177935
BE25;2015;1180957
BE25;2016;1184418
BE25;2017;1188407
BE25;2018;1192254
BE25;2019;1196995
BE25;2020;1202352
BE25;2021;1205101
BE25;2022;1210822
BE251;2014;279956
BE251;2015;280535
BE251;2016;280713
BE251;2017;281564
BE251;2018;282020
BE251;2019;282520
BE251;2020;283079
BE251;2021;283590
BE251;2022;283997
BE252;2014;50755
BE252;2015;50885
BE252;2016;51079
BE252;2017;51293
BE252;2018;51449
BE252;2019;51560
BE252;2020;51724
BE252;2021;51800
BE252;2022;51992
BE253;2014;106460
BE253;2015;106506
BE253;2016;106582
BE253;2017;106556
BE253;2018;106511
BE253;2019;106551
BE253;2020;106928
BE253;2021;106751
BE253;2022;107320
BE254;2014;285149
BE254;2015;285969
BE254;2016;286983
BE254;2017;288248
BE254;2018;289349
BE254;2019;290930
BE254;2020;292690
BE254;2021;293593
BE254;2022;296179
BE255;2014;154278
BE255;2015;154924
BE255;2016;155256
BE255;2017;155982
BE255;2018;156638
BE255;2019;157293
BE255;2020;157925
BE255;2021;158320
BE255;2022;158339
BE256;2014;148531
BE256;2015;149106
BE256;2016;150052
BE256;2017;150936
BE256;2018;151962
BE256;2019;153394
BE256;2020;154619
BE256;2021;155190
BE256;2022;156426
BE257;2014;91864
BE257;2015;92042
BE257;2016;92347
BE257;2017;92546
BE257;2018;92738
BE257;2019;93040
BE257;2020;93595
BE257;2021;93847
BE257;2022;94528
BE258;2014;60942
BE258;2015;60990
BE258;2016;61406
BE258;2017;61282
BE258;2018;61587
BE258;2019;61707
BE258;2020;61792
BE258;2021;62010
BE258;2022;62041
BE3;2014;3586142
BE3;2015;3600164
BE3;2016;3617833
BE3;2017;3626571
BE3;2018;3633803
BE3;2019;3643996
BE3;2020;3660071
BE3;2021;3663729
BE3;2022;3679181
BE31;2014;391609
BE31;2015;394344
BE31;2016;397745
BE31;2017;399735
BE31;2018;401508
BE31;2019;404270
BE31;2020;406794
BE31;2021;408325
BE31;2022;410619
BE310;2014;391609
BE310;2015;394344
BE310;2016;397745
BE310;2017;399735
BE310;2018;401508
BE310;2019;404270
BE310;2020;406794
BE310;2021;408325
BE310;2022;410619
BE32;2014;1334423
BE32;2015;1337780
BE32;2016;1341267
BE32;2017;1342053
BE32;2018;1343756
BE32;2019;1346082
BE32;2020;1350295
BE32;2021;1349861
BE32;2022;1354667
BE321;2014;85834
BE321;2015;86187
BE321;2016;86593
BE321;2017;86762
BE321;2018;86836
BE321;2019;87125
BE321;2020;87388
BE322;2014;430402
BE322;2015;430899
BE322;2016;431693
BE322;2017;431043
BE322;2018;431398
BE322;2019;431879
BE322;2020;432660
BE323;2014;257481
BE323;2015;258320
BE323;2016;258285
BE323;2017;258721
BE323;2018;258817
BE323;2019;259175
BE323;2020;259406
BE323;2021;259351
BE323;2022;260350
BE324;2014;74700
BE324;2015;75198
BE324;2016;76086
BE324;2017;75927
BE324;2018;76276
BE324;2019;76520
BE324;2020;77688
BE325;2014;187834
BE325;2015;188678
BE325;2016;189248
BE325;2017;189978
BE325;2018;190440
BE325;2019;191391
BE325;2020;192708
BE326;2014;151386
BE326;2015;151554
BE326;2016;151943
BE326;2017;152118
BE326;2018;152284
BE326;2019;152358
BE326;2020;152509
BE327;2014;146786
BE327;2015;146944
BE327;2016;147419
BE327;2017;147504
BE327;2018;147705
BE327;2019;147634
BE327;2020;147936
BE328;2014;221486
BE328;2015;222142
BE328;2016;223505
BE328;2017;223431
BE328;2018;223981
BE328;2019;224154
BE328;2020;225624
BE328;2021;225286
BE328;2022;225948
BE329;2014;140422
BE329;2015;140794
BE329;2016;141260
BE329;2017;141354
BE329;2018;141252
BE329;2019;141344
BE329;2020;141841
BE329;2021;141689
BE329;2022;141914
BE32A;2014;126035
BE32A;2015;126539
BE32A;2016;127075
BE32A;2017;127318
BE32A;2018;127534
BE32A;2019;127931
BE32A;2020;128570
BE32A;2021;128732
BE32A;2022;129495
BE32B;2014;396714
BE32B;2015;397022
BE32B;2016;397564
BE32B;2017;396695
BE32B;2018;396981
BE32B;2019;397123
BE32B;2020;397722
BE32B;2021;397002
BE32B;2022;397731
BE32C;2014;101028
BE32C;2015;101685
BE32C;2016;102340
BE32C;2017;102974
BE32C;2018;103488
BE32C;2019;104562
BE32C;2020;105268
BE32C;2021;105737
BE32C;2022;106686
BE32D;2014;91257
BE32D;2015;91278
BE32D;2016;91238
BE32D;2017;91560
BE32D;2018;91703
BE32D;2019;91793
BE32D;2020;91864
BE32D;2021;92064
BE32D;2022;92543
BE33;2014;1095661
BE33;2015;1098903
BE33;2016;1103490
BE33;2017;1106039
BE33;2018;1108371
BE33;2019;1110068
BE33;2020;1113943
BE33;2021;1113324
BE33;2022;1116087
BE331;2014;111522
BE331;2015;112015
BE331;2016;112674
BE331;2017;112976
BE331;2018;113165
BE331;2019;113528
BE331;2020;114036
BE331;2021;114476
BE331;2022;115082
BE332;2014;620167
BE332;2015;621764
BE332;2016;623887
BE332;2017;625131
BE332;2018;626222
BE332;2019;626627
BE332;2020;628363
BE332;2021;627304
BE332;2022;628067
BE334;2014;78477
BE334;2015;78955
BE334;2016;79569
BE334;2017;80330
BE334;2018;80969
BE334;2019;81498
BE334;2020;82005
BE334;2021;82393
BE334;2022;83088
BE335;2014;208840
BE335;2015;209429
BE335;2016;210028
BE335;2017;210298
BE335;2018;210486
BE335;2019;210512
BE335;2020;211131
BE335;2021;210672
BE335;2022;210811
BE336;2014;76655
BE336;2015;76740
BE336;2016;77332
BE336;2017;77304
BE336;2018;77529
BE336;2019;77903
BE336;2020;78408
BE336;2021;78479
BE336;2022;79039
BE34;2014;278219
BE34;2015;280261
BE34;2016;283257
BE34;2017;284617
BE34;2018;285010
BE34;2019;286685
BE34;2020;289606
BE34;2021;291730
BE34;2022;294400
BE341;2014;60330
BE341;2015;60675
BE341;2016;61186
BE341;2017;62318
BE341;2018;62520
BE341;2019;63062
BE341;2020;63642
BE341;2021;64086
BE341;2022;64937
BE342;2014;46701
BE342;2015;47210
BE342;2016;48484
BE342;2017;48745
BE342;2018;48828
BE342;2019;49125
BE342;2020;50228
BE342;2021;50438
BE342;2022;50896
BE343;2014;56079
BE343;2015;56525
BE343;2016;57122
BE343;2017;56836
BE343;2018;56870
BE343;2019;57283
BE343;2020;57734
BE343;2021;57971
BE343;2022;58388
BE344;2014;61888
BE344;2015;62500
BE344;2016;62864
BE344;2017;63162
BE344;2018;63105
BE344;2019;63424
BE344;2020;63821
BE344;2021;64806
BE344;2022;65358
BE345;2014;53221
BE345;2015;53351
BE345;2016;53601
BE345;2017;53556
BE345;2018;53687
BE345;2019;53791
BE345;2020;54181
BE345;2021;54429
BE345;2022;54821
BE35;2014;486230
BE35;2015;488876
BE35;2016;492074
BE35;2017;494127
BE35;2018;495158
BE35;2019;496891
BE35;2020;499433
BE35;2021;500489
BE35;2022;503408
BE351;2014;109031
BE351;2015;109782
BE351;2016;111128
BE351;2017;111521
BE351;2018;111566
BE351;2019;112159
BE351;2020;112757
BE351;2021;113157
BE351;2022;113877
BE352;2014;310628
BE352;2015;312113
BE352;2016;313321
BE352;2017;315190
BE352;2018;316606
BE352;2019;317552
BE352;2020;319132
BE352;2021;319928
BE352;2022;321698
BE353;2014;66571
BE353;2015;66981
BE353;2016;67625
BE353;2017;67416
BE353;2018;66986
BE353;2019;67180
BE353;2020;67544
BE353;2021;67404
BE353;2022;67833
BG;2014;7245677
BG;2015;7202198
BG;2016;7153784
BG;2017;7101859
BG;2018;7050034
BG;2019;7000039
BG;2020;6951482
BG;2021;6916548
BG;2022;6838937
BG3;2014;3664440
BG3;2015;3631150
BG3;2016;3596383
BG3;2017;3560451
BG3;2018;3524208
BG3;2019;3487586
BG3;2020;3450592
BG3;2021;3427486
BG3;2022;3377299
BG31;2014;810401
BG31;2015;797142
BG31;2016;783909
BG31;2017;769623
BG31;2018;755956
BG31;2019;742304
