edu_level;age;nuts3;year;prop;;
Vocational_edu;Y20-24;CY0;2017;10.6;;
Vocational_edu;Y20-24;CY0;2018;13.4;;
Vocational_edu;Y20-24;CY0;2019;15.9;;
Vocational_edu;Y20-24;CY0;2020;13.9;;
Vocational_edu;Y20-24;CY0;2021;14.1;;
Vocational_edu;Y20-24;CY0;2022;15.2;;
Vocational_edu;Y20-24;CY00;2014;12.1;;
Vocational_edu;Y20-24;CY00;2015;13.3;;
Vocational_edu;Y20-24;CY00;2016;11.7;;
Vocational_edu;Y20-24;CY00;2017;10.6;;
Vocational_edu;Y20-24;CY00;2018;13.4;;
Vocational_edu;Y20-24;CY00;2019;15.9;;
Vocational_edu;Y20-24;CY00;2020;13.9;;
Vocational_edu;Y20-24;CY00;2021;14.1;;
Vocational_edu;Y20-24;CY00;2022;15.2;;
Vocational_edu;Y20-24;CZ;2014;59.7;;
Vocational_edu;Y20-24;CZ;2015;58.3;;
Vocational_edu;Y20-24;CZ;2016;57.1;;
Vocational_edu;Y20-24;CZ;2017;56.9;;
Vocational_edu;Y20-24;CZ;2018;56.1;;
Vocational_edu;Y20-24;CZ;2019;56.8;;
Vocational_edu;Y20-24;CZ;2020;54.4;;
Vocational_edu;Y20-24;CZ;2021;34.9;;
Vocational_edu;Y20-24;CZ;2022;54.2;;
Vocational_edu;Y20-24;CZ0;2014;59.7;;
Vocational_edu;Y20-24;CZ0;2015;58.3;;
Vocational_edu;Y20-24;CZ0;2016;57.1;;
Vocational_edu;Y20-24;CZ0;2017;56.9;;
Vocational_edu;Y20-24;CZ0;2018;56.1;;
Vocational_edu;Y20-24;CZ0;2019;56.8;;
Vocational_edu;Y20-24;CZ0;2020;54.4;;
Vocational_edu;Y20-24;CZ0;2021;34.9;;
Vocational_edu;Y20-24;CZ0;2022;54.2;;
Vocational_edu;Y20-24;CZ01;2014;52.1;;
Vocational_edu;Y20-24;CZ01;2015;46.9;;
Vocational_edu;Y20-24;CZ01;2016;44.5;;
Vocational_edu;Y20-24;CZ01;2017;46.4;;
Vocational_edu;Y20-24;CZ01;2018;42.9;;
Vocational_edu;Y20-24;CZ01;2019;43.7;;
Vocational_edu;Y20-24;CZ01;2020;42.8;;
Vocational_edu;Y20-24;CZ01;2021;18.0;;
Vocational_edu;Y20-24;CZ01;2022;29.8;;
Vocational_edu;Y20-24;CZ02;2014;60.5;;
Vocational_edu;Y20-24;CZ02;2015;63.9;;
Vocational_edu;Y20-24;CZ02;2016;61.9;;
Vocational_edu;Y20-24;CZ02;2017;58.1;;
Vocational_edu;Y20-24;CZ02;2018;54.2;;
Vocational_edu;Y20-24;CZ02;2019;58.3;;
Vocational_edu;Y20-24;CZ02;2020;55.5;;
Vocational_edu;Y20-24;CZ02;2021;32.3;;
Vocational_edu;Y20-24;CZ02;2022;55.1;;
Vocational_edu;Y20-24;CZ03;2014;59.3;;
Vocational_edu;Y20-24;CZ03;2015;61.9;;
Vocational_edu;Y20-24;CZ03;2016;61.6;;
Vocational_edu;Y20-24;CZ03;2017;62.1;;
Vocational_edu;Y20-24;CZ03;2018;57.0;;
Vocational_edu;Y20-24;CZ03;2019;64.2;;
Vocational_edu;Y20-24;CZ03;2020;60.2;;
Vocational_edu;Y20-24;CZ03;2021;39.2;;
Vocational_edu;Y20-24;CZ03;2022;61.8;;
Vocational_edu;Y20-24;CZ04;2014;60.5;;
Vocational_edu;Y20-24;CZ04;2015;61.2;;
Vocational_edu;Y20-24;CZ04;2016;60.1;;
Vocational_edu;Y20-24;CZ04;2017;56.6;;
Vocational_edu;Y20-24;CZ04;2018;57.0;;
Vocational_edu;Y20-24;CZ04;2019;55.2;;
Vocational_edu;Y20-24;CZ04;2020;56.7;;
Vocational_edu;Y20-24;CZ04;2021;42.4;;
Vocational_edu;Y20-24;CZ04;2022;61.2;;
Vocational_edu;Y20-24;CZ05;2014;62.8;;
Vocational_edu;Y20-24;CZ05;2015;61.4;;
Vocational_edu;Y20-24;CZ05;2016;59.8;;
Vocational_edu;Y20-24;CZ05;2017;59.5;;
Vocational_edu;Y20-24;CZ05;2018;61.0;;
Vocational_edu;Y20-24;CZ05;2019;61.9;;
Vocational_edu;Y20-24;CZ05;2020;59.3;;
Vocational_edu;Y20-24;CZ05;2021;38.5;;
Vocational_edu;Y20-24;CZ05;2022;57.6;;
Vocational_edu;Y20-24;CZ06;2014;60.0;;
Vocational_edu;Y20-24;CZ06;2015;56.8;;
Vocational_edu;Y20-24;CZ06;2016;55.6;;
Vocational_edu;Y20-24;CZ06;2017;58.9;;
Vocational_edu;Y20-24;CZ06;2018;59.4;;
Vocational_edu;Y20-24;CZ06;2019;54.2;;
Vocational_edu;Y20-24;CZ06;2020;51.0;;
Vocational_edu;Y20-24;CZ06;2021;31.0;;
Vocational_edu;Y20-24;CZ06;2022;51.3;;
Vocational_edu;Y20-24;CZ07;2014;62.1;;
